物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
地下鉄烏丸線 烏丸御池駅 5階建 築38年,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区大阪材木町,38,5.4,2,K,25,6000,,
地下鉄烏丸線 烏丸御池駅 5階建 築38年,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区大阪材木町,38,5.4,1,DK,26,6000,,
ベラジオ京都壬生　ＷＥＳＴ　ＧＡＴＥ,阪急京都線,西院駅,9,京都府京都市中京区壬生西檜町,8,6.6,1,K,26,7020,,7.3
Ｍ’ｓＳｑｕａｒｅ,阪急京都線,西院駅,6,京都府京都市中京区壬生西檜町,32,4,1,K,20.37,6000,,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,7.9,1,K,35.23,8000,23.7,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.1,1,DK,36.34,8000,24.3,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.1,1,K,31.04,8000,40.5,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.2,1,K,31.04,8000,24.6,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.2,1,K,31.04,8000,41,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.3,1,K,35.23,8000,,24.9
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.5,1,K,35.23,8000,25.5,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.5,1,K,35.23,8000,25.5,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.5,1,DK,31.04,8000,25.5,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.5,1,K,31.04,8000,25.5,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.5,1,K,35.23,8800,25.5,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.5,1,K,31.04,8800,25.5,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.7,1,DK,36.34,8000,26.1,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.8,1,DK,36.34,8000,26.4,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.8,1,K,35.23,8000,26.4,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,8.9,1,DK,36.34,8000,26.7,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,10.8,1,K,42.83,8000,32.4,
烏丸アネックス２,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区梅忠町,24,11.75,1,LDK,44.76,10000,35.25,
阪急京都線 大宮駅 2階建 築15年,地下鉄東西線,二条城前駅,3,京都府京都市中京区姉大宮町西側,15,6.1,1,K,20.28,6000,,12.2
阪急京都線 大宮駅 2階建 築15年,地下鉄東西線,二条城前駅,3,京都府京都市中京区姉大宮町西側,15,6.1,1,K,28.7,6000,,12.2
阪急京都線 大宮駅 2階建 築15年,地下鉄東西線,二条城前駅,3,京都府京都市中京区姉大宮町西側,15,6.2,1,K,21.11,6000,,12.4
