物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
ハイツ北野,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.3,1,K,21.96,6000,5,
ハイツ北野,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.4,1,K,21.96,6000,5,
ハイツ北野,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.4,1,K,21.96,6000,5,
ハイツ北野,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.4,1,K,21.96,6000,5,
ハイツ北野,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.5,1,K,21.96,6000,5,2
ハイツ北野,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.5,1,K,21.96,6000,5,2
ハイツ北野,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.5,1,K,21.96,6000,5,2
ハイツ北野,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.6,1,K,21.96,6000,5,2
ハイツ北野,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.6,1,K,22.57,6000,5,2
ハイツ北野,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.6,1,K,21.96,6000,5,2
リエス東堀川,地下鉄烏丸線,今出川駅,14.0,京都府京都市上京区東橋詰町,41,3.4,1,K,16.89,5000,,
リエス東堀川,地下鉄烏丸線,今出川駅,14.0,京都府京都市上京区東橋詰町,41,3.6,1,R,17.83,5000,,
京阪鴨東線 神宮丸太町駅 5階建 築47年,地下鉄烏丸線,神宮丸太町駅,7.0,京都府京都市上京区出水町,47,3,1,R,16.8,4000,3,
京阪鴨東線 神宮丸太町駅 5階建 築47年,地下鉄烏丸線,神宮丸太町駅,7.0,京都府京都市上京区出水町,47,3,1,R,16.8,4000,3,
京都今出川レジデンス,京福電鉄北野線,今出川駅,15.0,京都府京都市上京区西北小路町,43,4,1,K,16.9,5000,,
地下鉄烏丸線 今出川駅 8階建 築43年,京福電鉄北野線,今出川駅,15.0,京都府京都市上京区西北小路町,43,4,1,K,16.9,5000,,
京都今出川レジデンス,京福電鉄北野線,今出川駅,15.0,京都府京都市上京区西北小路町,43,4,1,K,16.2,5000,,
コーポエスポワール,京福電鉄北野線,二条駅,8.0,京都府京都市上京区主税町,34,2.9,1,R,15,4000,,
コーポエスポワール,京福電鉄北野線,二条駅,8.0,京都府京都市上京区主税町,34,2.9,1,R,17,4000,,
地下鉄烏丸線 今出川駅 5階建 築37年,京福電鉄北野線,今出川駅,1.0,京都府京都市上京区御所八幡町,37,4.5,1,R,16,3000,,
